Desc	Family ID	S_dalli	E_babai	V_penis	S_velum	T_virginea	A_californica	C_concholepas	H_cracherodii	D_sirenkoi	V_oligotropha	L_scabra	C_septemvalvis	S_philippinensis	N_pompilius	N_megatrapezata	L_anatina	S_atlantica	A_discrepans	P_vernedei	O_vulgaris
(null)	OG0000000	8	1	10	1	0	7	6	6	0	0	2	0	0	3	0	0	2	0	0	3
(null)	OG0000001	2	1	0	7	0	2	6	4	0	0	0	1	0	12	0	0	3	0	0	10
(null)	OG0000002	2	1	3	3	3	4	3	1	0	1	3	0	3	3	1	0	3	0	3	3
(null)	OG0000003	1	1	3	3	2	1	0	1	1	2	0	2	1	4	1	1	1	3	2	1
(null)	OG0000004	0	1	3	3	2	1	0	1	0	1	0	1	3	5	0	0	1	1	5	2
(null)	OG0000005	0	1	1	0	0	0	0	0	7	1	0	3	1	0	2	0	0	13	0	1
(null)	OG0000006	0	0	0	0	1	0	0	1	0	2	0	0	0	9	0	0	7	0	0	9
(null)	OG0000007	1	2	1	1	2	1	1	1	2	2	2	2	1	1	2	2	1	2	1	1
(null)	OG0000008	1	1	2	2	2	3	1	1	1	1	2	1	1	1	1	1	1	1	2	2
(null)	OG0000009	0	1	2	1	1	2	8	2	0	0	0	5	0	0	0	0	1	0	0	3
(null)	OG0000010	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	2
(null)	OG0000011	1	4	1	1	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1
(null)	OG0000012	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2
(null)	OG0000013	1	1	3	1	2	3	1	1	1	1	1	0	1	3	3	0	0	0	1	1
(null)	OG0000014	2	0	2	2	3	2	2	1	0	0	3	0	1	1	0	1	1	0	3	1
(null)	OG0000015	0	2	1	1	1	0	0	0	1	3	0	2	0	3	3	0	2	3	0	2
(null)	OG0000016	2	0	2	0	1	5	3	1	0	0	3	0	1	2	0	1	1	0	2	0
(null)	OG0000017	2	0	2	0	1	1	1	1	2	0	1	2	1	2	2	0	2	2	1	1
(null)	OG0000018	3	0	6	2	2	1	0	0	0	2	0	1	2	0	0	1	0	1	2	1
(null)	OG0000019	2	2	1	1	2	2	2	1	0	1	2	1	1	1	1	0	1	1	1	1
(null)	OG0000020	1	1	2	1	1	1	1	1	1	1	1	2	2	2	2	1	0	1	1	1
(null)	OG0000021	2	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1
(null)	OG0000022	1	0	1	2	3	1	1	2	0	0	1	2	1	4	0	1	1	1	1	1
(null)	OG0000023	2	4	5	1	1	2	0	2	0	0	1	0	2	1	0	2	0	0	0	0
(null)	OG0000024	1	1	2	2	2	1	1	0	1	1	1	2	1	1	1	0	1	1	1	2
(null)	OG0000025	2	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
(null)	OG0000026	1	1	2	1	3	1	1	1	1	1	1	1	1	1	1	0	0	1	3	1
(null)	OG0000027	0	2	1	0	1	1	1	1	2	2	1	2	1	1	2	1	1	2	0	1
(null)	OG0000028	3	0	2	1	3	2	1	1	1	0	2	0	2	1	1	0	1	0	2	0
(null)	OG0000029	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1
(null)	OG0000030	1	2	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1
(null)	OG0000031	1	2	1	1	2	1	2	1	1	0	2	1	1	1	1	1	1	1	1	1
(null)	OG0000032	2	1	2	2	1	1	1	0	1	1	1	1	1	1	1	1	1	1	2	1
(null)	OG0000033	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000034	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
(null)	OG0000035	1	1	1	1	1	1	1	3	1	1	1	1	1	2	1	1	1	1	1	1
(null)	OG0000036	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000037	2	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1
(null)	OG0000038	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
(null)	OG0000039	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000040	1	1	1	0	1	1	1	1	2	2	1	2	0	1	2	1	1	2	1	1
(null)	OG0000041	1	0	1	1	2	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1
(null)	OG0000042	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2
(null)	OG0000043	1	3	1	1	1	1	0	1	1	2	1	1	0	1	1	2	1	1	1	1
(null)	OG0000044	1	1	1	2	2	1	1	3	0	2	1	1	1	1	1	1	0	1	1	0
(null)	OG0000045	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1
(null)	OG0000046	2	0	1	1	2	0	0	2	1	1	2	1	1	1	1	1	2	1	1	1
(null)	OG0000047	1	0	2	2	3	3	3	1	0	0	3	0	1	0	0	1	0	0	2	0
(null)	OG0000048	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
(null)	OG0000049	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	0	1	1	1
(null)	OG0000050	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
(null)	OG0000051	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000052	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
(null)	OG0000053	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1
(null)	OG0000054	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
(null)	OG0000055	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
(null)	OG0000056	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000057	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000058	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2
(null)	OG0000059	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
(null)	OG0000060	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000061	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000062	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2
(null)	OG0000063	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000064	2	0	3	11	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0
(null)	OG0000065	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000066	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000067	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000068	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	0	1	1	1
(null)	OG0000069	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	0	1	1	1	1
(null)	OG0000070	2	1	2	2	1	1	1	1	0	1	1	1	2	1	1	0	1	1	1	1
(null)	OG0000071	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2
(null)	OG0000072	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1
