Code_in_seqs	Mollusc species
Sphi	Scintilla philippinensis
Vpen	Verpa penis
Svel	Solemya velum
Pver	Pictodentalium vernedei
Sdal	Siphonodentalium dalli
Acal	Aplysia californica
Ccon	Concholepas concholepas
Tvir	Tectura virginea
Lsca	Lottia scabra
Hcra	Haliotis cracherodii
Satl	Sepiola atlantica
Ovul	Octopus vulgaris
Npom	Nautilus pompilius
Voli	Veleropilina oligotropha
Adis	Acanthochitona discrepans
Csep	Callochiton septemiralvis
Dsir	Deshayesiella sirenkoi
Ebab	Epimenia babai
Nmeg	Neomenia megatrapezata
Lana	Lingula anatina
