Code_in_seqs	Mollusc species
S_philippinensis	Scintilla philippinensis
V_penis	Verpa penis
S_velum	Solemya velum
P_vernedei	Pictodentalium vernedei
S_dalli	Siphonodentalium dalli
A_californica	Aplysia californica
C_concholepas	Concholepas concholepas
T_virginea	Tectura virginea
L_scabra	Lottia scabra
H_cracherodii	Haliotis cracherodii
S_atlantica	Sepiola atlantica
O_vulgaris	Octopus vulgaris
N_pompilius	Nautilus pompilius
V_oligotropha	Veleropilina oligotropha
A_discrepans	Acanthochitona discrepans
C_septemiralvis	Callochiton septemiralvis
D_sirenkoi	Deshayesiella sirenkoi
E_babai	Epimenia babai
N_megatrapezata	Neomenia megatrapezata
L_anatina	Lingula anatina
